[OK] req=-55.0 dBm -> set=-55.0 dBm, avg=10
[OK] req=-53.983050847457626 dBm -> set=-53.983050847457626 dBm, avg=10
[OK] req=-52.96610169491525 dBm -> set=-52.96610169491525 dBm, avg=10
[OK] req=-51.94915254237288 dBm -> set=-51.94915254237288 dBm, avg=10
[OK] req=-50.932203389830505 dBm -> set=-50.932203389830505 dBm, avg=10
[OK] req=-49.91525423728814 dBm -> set=-49.91525423728814 dBm, avg=10
[OK] req=-48.898305084745765 dBm -> set=-48.898305084745765 dBm, avg=10
[OK] req=-47.88135593220339 dBm -> set=-47.88135593220339 dBm, avg=10
[OK] req=-46.86440677966102 dBm -> set=-46.86440677966102 dBm, avg=10
[OK] req=-45.847457627118644 dBm -> set=-45.847457627118644 dBm, avg=10
[OK] req=-44.83050847457627 dBm -> set=-44.83050847457627 dBm, avg=10
[OK] req=-43.813559322033896 dBm -> set=-43.813559322033896 dBm, avg=10
[OK] req=-42.79661016949153 dBm -> set=-42.79661016949153 dBm, avg=10
[OK] req=-41.77966101694915 dBm -> set=-41.77966101694915 dBm, avg=10
[OK] req=-40.76271186440678 dBm -> set=-40.76271186440678 dBm, avg=10
[OK] req=-39.74576271186441 dBm -> set=-39.74576271186441 dBm, avg=10
[OK] req=-38.728813559322035 dBm -> set=-38.728813559322035 dBm, avg=10
[OK] req=-37.71186440677966 dBm -> set=-37.71186440677966 dBm, avg=10
[OK] req=-36.69491525423729 dBm -> set=-36.69491525423729 dBm, avg=10
[OK] req=-35.67796610169492 dBm -> set=-35.67796610169492 dBm, avg=10
[OK] req=-34.66101694915254 dBm -> set=-34.66101694915254 dBm, avg=10
[OK] req=-33.64406779661017 dBm -> set=-33.64406779661017 dBm, avg=10
[OK] req=-32.6271186440678 dBm -> set=-32.6271186440678 dBm, avg=10
[OK] req=-31.610169491525426 dBm -> set=-31.610169491525426 dBm, avg=10
[OK] req=-30.593220338983052 dBm -> set=-30.593220338983052 dBm, avg=10
[OK] req=-29.576271186440678 dBm -> set=-29.576271186440678 dBm, avg=10
[OK] req=-28.559322033898304 dBm -> set=-28.559322033898304 dBm, avg=10
[OK] req=-27.542372881355934 dBm -> set=-27.542372881355934 dBm, avg=10
[OK] req=-26.52542372881356 dBm -> set=-26.52542372881356 dBm, avg=10
[OK] req=-25.508474576271187 dBm -> set=-25.508474576271187 dBm, avg=10
[OK] req=-24.491525423728817 dBm -> set=-24.491525423728817 dBm, avg=10
[OK] req=-23.474576271186443 dBm -> set=-23.474576271186443 dBm, avg=10
[OK] req=-22.45762711864407 dBm -> set=-22.45762711864407 dBm, avg=10
[OK] req=-21.440677966101696 dBm -> set=-21.440677966101696 dBm, avg=10
[OK] req=-20.423728813559322 dBm -> set=-20.423728813559322 dBm, avg=10
[OK] req=-19.406779661016948 dBm -> set=-19.406779661016948 dBm, avg=10
[OK] req=-18.389830508474574 dBm -> set=-18.389830508474574 dBm, avg=10
[OK] req=-17.372881355932208 dBm -> set=-17.372881355932208 dBm, avg=10
[OK] req=-16.355932203389834 dBm -> set=-16.355932203389834 dBm, avg=10
[OK] req=-15.33898305084746 dBm -> set=-15.33898305084746 dBm, avg=10
[OK] req=-14.322033898305087 dBm -> set=-14.322033898305087 dBm, avg=10
[OK] req=-13.305084745762713 dBm -> set=-13.305084745762713 dBm, avg=10
[OK] req=-12.288135593220339 dBm -> set=-12.288135593220339 dBm, avg=10
[OK] req=-11.271186440677965 dBm -> set=-11.271186440677965 dBm, avg=10
[OK] req=-10.254237288135599 dBm -> set=-10.254237288135599 dBm, avg=10
[OK] req=-9.237288135593225 dBm -> set=-9.237288135593225 dBm, avg=10
[OK] req=-8.220338983050851 dBm -> set=-8.220338983050851 dBm, avg=10
[OK] req=-7.203389830508478 dBm -> set=-7.203389830508478 dBm, avg=10
[OK] req=-6.186440677966104 dBm -> set=-6.186440677966104 dBm, avg=10
[OK] req=-5.16949152542373 dBm -> set=-5.16949152542373 dBm, avg=10
[OK] req=-4.152542372881356 dBm -> set=-4.152542372881356 dBm, avg=10
[OK] req=-3.1355932203389827 dBm -> set=-3.1355932203389827 dBm, avg=10
[OK] req=-2.118644067796609 dBm -> set=-2.118644067796609 dBm, avg=10
[OK] req=-1.1016949152542423 dBm -> set=-1.1016949152542423 dBm, avg=10
[OK] req=-0.08474576271186862 dBm -> set=-0.08474576271186862 dBm, avg=10
[OK] req=0.9322033898305051 dBm -> set=0.9322033898305051 dBm, avg=10
[OK] req=1.9491525423728788 dBm -> set=1.9491525423728788 dBm, avg=10
[OK] req=2.9661016949152526 dBm -> set=2.9661016949152526 dBm, avg=10
[OK] req=3.9830508474576263 dBm -> set=3.9830508474576263 dBm, avg=10
[OK] req=5.0 dBm -> set=5.0 dBm, avg=10
