[OK] req=15.0 dBm -> set=10 dBm, avg=20
[OK] req=13.96551724137931 dBm -> set=10 dBm, avg=20
[OK] req=12.931034482758621 dBm -> set=10 dBm, avg=20
[OK] req=11.89655172413793 dBm -> set=10 dBm, avg=20
[OK] req=10.862068965517242 dBm -> set=10 dBm, avg=20
[OK] req=9.827586206896552 dBm -> set=9.827586206896552 dBm, avg=20
[OK] req=8.793103448275861 dBm -> set=8.793103448275861 dBm, avg=20
[OK] req=7.758620689655172 dBm -> set=7.758620689655172 dBm, avg=20
[OK] req=6.724137931034482 dBm -> set=6.724137931034482 dBm, avg=20
[OK] req=5.689655172413792 dBm -> set=5.689655172413792 dBm, avg=20
[OK] req=4.655172413793103 dBm -> set=4.655172413793103 dBm, avg=20
[OK] req=3.620689655172413 dBm -> set=3.620689655172413 dBm, avg=20
[OK] req=2.5862068965517224 dBm -> set=2.5862068965517224 dBm, avg=20
[OK] req=1.5517241379310338 dBm -> set=1.5517241379310338 dBm, avg=20
[OK] req=0.5172413793103434 dBm -> set=0.5172413793103434 dBm, avg=20
[OK] req=-0.5172413793103452 dBm -> set=-0.5172413793103452 dBm, avg=20
[OK] req=-1.5517241379310356 dBm -> set=-1.5517241379310356 dBm, avg=20
[OK] req=-2.586206896551726 dBm -> set=-2.586206896551726 dBm, avg=20
[OK] req=-3.6206896551724164 dBm -> set=-3.6206896551724164 dBm, avg=20
[OK] req=-4.655172413793103 dBm -> set=-4.655172413793103 dBm, avg=20
[OK] req=-5.689655172413794 dBm -> set=-5.689655172413794 dBm, avg=20
[OK] req=-6.724137931034484 dBm -> set=-6.724137931034484 dBm, avg=20
[OK] req=-7.758620689655174 dBm -> set=-7.758620689655174 dBm, avg=20
[OK] req=-8.793103448275865 dBm -> set=-8.793103448275865 dBm, avg=20
[OK] req=-9.827586206896555 dBm -> set=-9.827586206896555 dBm, avg=20
[OK] req=-10.862068965517242 dBm -> set=-10.862068965517242 dBm, avg=20
[OK] req=-11.896551724137932 dBm -> set=-11.896551724137932 dBm, avg=20
[OK] req=-12.931034482758623 dBm -> set=-12.931034482758623 dBm, avg=20
[OK] req=-13.965517241379313 dBm -> set=-13.965517241379313 dBm, avg=20
[OK] req=-15.0 dBm -> set=-15.0 dBm, avg=20
