[OK] req=-40.0 dBm -> set=-40.0 dBm, avg=20
[OK] req=-41.07142857142857 dBm -> set=-41.07142857142857 dBm, avg=20
[OK] req=-42.142857142857146 dBm -> set=-42.142857142857146 dBm, avg=20
[OK] req=-43.214285714285715 dBm -> set=-43.214285714285715 dBm, avg=20
[OK] req=-44.285714285714285 dBm -> set=-44.285714285714285 dBm, avg=20
[OK] req=-45.357142857142854 dBm -> set=-45.357142857142854 dBm, avg=20
[OK] req=-46.42857142857143 dBm -> set=-46.42857142857143 dBm, avg=20
[OK] req=-47.5 dBm -> set=-47.5 dBm, avg=20
[OK] req=-48.57142857142857 dBm -> set=-48.57142857142857 dBm, avg=20
[OK] req=-49.64285714285714 dBm -> set=-49.64285714285714 dBm, avg=20
[OK] req=-50.714285714285715 dBm -> set=-50.714285714285715 dBm, avg=20
[OK] req=-51.785714285714285 dBm -> set=-51.785714285714285 dBm, avg=20
[OK] req=-52.85714285714286 dBm -> set=-52.85714285714286 dBm, avg=20
[OK] req=-53.92857142857143 dBm -> set=-53.92857142857143 dBm, avg=20
[OK] req=-55.0 dBm -> set=-55.0 dBm, avg=20
